depth,mode,step,seed,free_answer_accuracy,free_exact_continuation,terminal_query,terminal_state_mass,terminal_state_argmax_accuracy,local_query_status,local_rule_accuracy,local_rule_tv,local_state_mass,local_state_mass_min,local_context_variation_tv,epsilon_rule,gamma,composition_tv_with_invalid,composition_tv_conditional,product_answer_accuracy,gradient_query,gradient_actual_norm,gradient_predicted_norm,gradient_cosine,gradient_relative_error,gradient_rule_pullback_norm,gradient_rule_cosine,descent_oracle_rule_cosine,descent_random_rule_cosine_mean,descent_random_rule_cosine_std,gradient_actual_loss,gradient_predicted_loss
4,both,0,44,0.0,0.0,direct answer conditioned on COLON,0.16627486050128937,0.05000000074505806,gold-prefix trace readout; conditioned on valid state token,0.05528846010565758,0.9371410012245178,0.2128630429506302,0.10544508695602417,0.24504239857196808,0.060276634991168976,0.25803104043006897,0.8343098759651184,0.4104333519935608,0.07500000298023224,mixed only; direct answer CE; first-step local tables,6.080891132354736,4.308811664581299,0.36916822321937687,0.9894022789005464,0.1292998045682907,0.0040663715853142025,0.012165117652377778,0.006005545152227133,0.059551389685351,5.292566776275635,3.1351425647735596
4,process,100,44,0.2890625,0.2734375,after greedy trace; not a marginal over traces,0.9999853372573853,0.3499999940395355,gold-prefix trace readout; conditioned on valid state token,0.7043269276618958,0.45059093832969666,0.9992573857307434,0.8683435916900635,0.08551990985870361,1.0940449237823486,0.12323103845119476,0.7516141533851624,0.751613974571228,0.32499998807907104,,,,,,,,,,,,
4,outcome,100,44,0.12109375,0.12109375,direct answer conditioned on COLON,0.9962506294250488,0.125,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
4,both,100,44,0.09375,0.09375,direct answer conditioned on COLON,0.9967266321182251,0.05000000074505806,gold-prefix trace readout; conditioned on valid state token,0.588942289352417,0.5569830536842346,0.9965328574180603,0.87800133228302,0.07386931777000427,1.0121650695800781,0.08948387950658798,0.21419794857501984,0.21287968754768372,0.17499999701976776,mixed only; direct answer CE; first-step local tables,4.216813087463379,6.4239044189453125,0.6118459033419295,1.206888538642484,3.086709976196289,0.20847083471201056,-0.08377538262310318,0.013844584691126347,0.15543250139004494,2.5355050563812256,2.4951579570770264
4,process,500,44,1.0,1.0,after greedy trace; not a marginal over traces,1.0,1.0,gold-prefix trace readout; conditioned on valid state token,1.0,0.0019062105566263199,0.999993622303009,0.997862696647644,0.0009393627988174558,1.0034116506576538,0.0033490429632365704,0.005497404374182224,0.005497402511537075,1.0,,,,,,,,,,,,
4,outcome,500,44,0.15234375,0.15234375,direct answer conditioned on COLON,0.9988753199577332,0.13750000298023224,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
4,both,500,44,0.17578125,0.17578125,direct answer conditioned on COLON,0.996799647808075,0.16249999403953552,gold-prefix trace readout; conditioned on valid state token,1.0,0.023776300251483917,0.9998772144317627,0.9577963948249817,0.010969603434205055,1.0609670877456665,0.03151020407676697,0.8265536427497864,0.8261961936950684,1.0,mixed only; direct answer CE; first-step local tables,5.079000949859619,5.180544853210449,0.07899627417404866,1.3708516512842353,4.887685298919678,0.07458445951500774,-0.03183729428640459,0.009944272755258029,0.04434747815139708,2.4773387908935547,0.12466071546077728
4,process,1000,44,1.0,1.0,after greedy trace; not a marginal over traces,1.0,1.0,gold-prefix trace readout; conditioned on valid state token,1.0,0.00046171568101271987,0.9999976754188538,0.9988619089126587,0.0002453681663610041,1.0005439519882202,0.00048366611008532345,0.001459407969377935,0.0014594042440876365,1.0,,,,,,,,,,,,
4,outcome,1000,44,0.24609375,0.24609375,direct answer conditioned on COLON,0.9987014532089233,0.1875,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
4,both,1000,44,0.21875,0.21875,direct answer conditioned on COLON,0.9961768984794617,0.22499999403953552,gold-prefix trace readout; conditioned on valid state token,1.0,0.005965443793684244,0.9999461770057678,0.992525577545166,0.003078013425692916,1.0219792127609253,0.011066901497542858,0.8527253270149231,0.8523046374320984,1.0,mixed only; direct answer CE; first-step local tables,6.129500389099121,0.21100486814975739,0.0905822538539536,0.9974663335639661,0.19904862344264984,0.07642903019802189,-0.0024807383110538343,0.003595898328003857,0.03303857226481808,2.5759682655334473,0.013025294989347458
4,process,2000,44,1.0,1.0,after greedy trace; not a marginal over traces,1.0,1.0,gold-prefix trace readout; conditioned on valid state token,1.0,0.00013510174176190048,0.9999991059303284,0.9996326565742493,8.001670357771218e-05,1.0002158880233765,0.00018375030776951462,0.0004413552233017981,0.00044135149801149964,1.0,,,,,,,,,,,,
4,outcome,2000,44,0.19921875,0.19921875,direct answer conditioned on COLON,0.9990497827529907,0.2874999940395355,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
